x,y,yaw,steeringAngle,velocity,srate
-98.54,-500.341,1.13336,0.00497414,-1.99187e-09,0
-98.54,-500.341,1.13336,0.00497414,-1.26825e-09,0
-98.54,-500.341,1.13336,0.00497414,-8.07771e-10,-6.14332e-16
-98.54,-500.341,1.13336,0.00497414,-5.14247e-10,-3.9125e-16
-98.54,-500.341,1.13336,0.00497414,-3.27451e-10,-2.48911e-16
-98.54,-500.341,1.13336,0.00497414,-2.08334e-10,0
-98.54,-500.341,1.13336,0.00497414,-1.32691e-10,-1.011e-16
-98.54,-500.341,1.13336,0.00497414,-8.4822e-11,-6.41855e-16
-98.54,-500.341,1.13336,0.00497414,-5.39304e-11,-4.07448e-16
-98.54,-500.341,1.13336,0.00497414,-3.4132e-11,0
-98.54,-500.341,1.13336,0.00497414,-2.18861e-11,-1.64914e-16
-98.54,-500.341,1.13336,0.00497414,-1.38358e-11,0
-98.54,-500.341,1.13336,0.00497414,-8.82159e-12,0
-98.54,-500.341,1.13336,0.00497414,-5.63236e-12,0
-98.54,-500.341,1.13336,0.00497414,-3.57823e-12,0
-98.54,-500.341,1.13336,0.00497414,-2.28922e-12,-1.49656e-16
-98.54,-500.341,1.13336,0.00497414,-1.30693e-12,0
-98.54,-500.341,1.13336,0.00497414,-8.4752e-13,0
-98.54,-500.341,1.13336,0.00497414,-6.06157e-13,0
-98.54,-500.341,1.13336,0.00497414,-1.88542e-12,-1.08606e-14
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
-98.54,-500.341,1.13336,0.00497414,0,0
